**** The Simulator log: stage 2
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-2,10]
0) ex0.simulator.Elevator_A, Elev_0, speed: 1.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 1.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,1000.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 100
0.0,**** Simulation starts!! ****
127.0, elevID,1,  pos,-2,  cmd, goto,-2
128.0, elevID,0,  pos,-2,  cmd, goto,-2
128.0, elevID,1,  pos,-2,  cmd, goto,-2
129.0, elevID,0,  pos,-2,  cmd, goto,-2
129.0, elevID,1,  pos,-2,  cmd, goto,-2
130.0, elevID,0,  pos,-2,  cmd, goto,-2
130.0, elevID,1,  pos,-2,  cmd, goto,-2
131.0,Elevator call,130.02495678190564,8,10,1,1, got allocated to elevator, 1
131.0,Elevator call,130.224911275492,-1,1,1,1, got allocated to elevator, 1
131.0, elevID,0,  pos,-2,  cmd, goto,-2
131.0, elevID,1,  pos,-2,  cmd, goto,-2
132.0, elevID,0,  pos,-2,  cmd, goto,-2
132.0, elevID,1,  pos,-2,  cmd, goto,-2
133.0, elevID,0,  pos,-2,  cmd, goto,-2
133.0, elevID,1,  pos,-2,  cmd, goto,-2
134.0, elevID,0,  pos,-2,  cmd, goto,-2
134.0, elevID,1,  pos,-2,  cmd, goto,-2
135.0, elevID,0,  pos,-2,  cmd, goto,-2
135.0, elevID,1,  pos,-2,  cmd, goto,-2
136.0, elevID,0,  pos,-2,  cmd, goto,-2
136.0, elevID,1,  pos,-2,  cmd, goto,-2
137.0, elevID,0,  pos,-2,  cmd, goto,-2
137.0, elevID,1,  pos,-2,  cmd, goto,-2
138.0,Elevator call,137.9515274326701,0,4,1,1, got allocated to elevator, 1
138.0, elevID,0,  pos,-2,  cmd, goto,-2
138.0, elevID,1,  pos,-2,  cmd, goto,-2
139.0, elevID,0,  pos,-2,  cmd, goto,-2
139.0, elevID,1,  pos,-2,  cmd, goto,-2
140.0, elevID,0,  pos,-2,  cmd, goto,-2
140.0, elevID,1,  pos,-2,  cmd, goto,-2
141.0, elevID,0,  pos,-2,  cmd, goto,-2
141.0, elevID,1,  pos,-2,  cmd, goto,-2
142.0, elevID,0,  pos,-2,  cmd, goto,-2
142.0, elevID,1,  pos,-2,  cmd, goto,-2
143.0, elevID,0,  pos,-2,  cmd, goto,-2
143.0, elevID,1,  pos,-2,  cmd, goto,-2
144.0,Elevator call,143.91335838799415,0,6,1,1, got allocated to elevator, 1
144.0, elevID,0,  pos,-2,  cmd, goto,-2
144.0, elevID,1,  pos,-2,  cmd, goto,-2
145.0, elevID,0,  pos,-2,  cmd, goto,-2
145.0, elevID,1,  pos,-2,  cmd, goto,-2
146.0, elevID,0,  pos,-2,  cmd, goto,-2
146.0, elevID,1,  pos,-2,  cmd, goto,-2
147.0, elevID,0,  pos,-2,  cmd, goto,-2
147.0, elevID,1,  pos,-2,  cmd, goto,-2
148.0, elevID,0,  pos,-2,  cmd, goto,-2
148.0, elevID,1,  pos,-2,  cmd, goto,-2
149.0, elevID,0,  pos,-2,  cmd, goto,-2
149.0, elevID,1,  pos,-2,  cmd, goto,-2
150.0, elevID,0,  pos,-2,  cmd, goto,-2
150.0, elevID,1,  pos,-2,  cmd, goto,-2
