**** The Simulator log: stage 9
0.0,OOP_Ex0_Elevator_Simulator
0.0,Simulated Building, ex0.simulator.Builging_A [-10,100]
0) ex0.simulator.Elevator_A, Elev_0, speed: 5.0, open/close: 2.0,  start/stop: 3.0
1) ex0.simulator.Elevator_A, Elev_1, speed: 10.0, open/close: 2.0,  start/stop: 3.0
2) ex0.simulator.Elevator_A, Elev_2, speed: 2.0, open/close: 2.0,  start/stop: 3.0
3) ex0.simulator.Elevator_A, Elev_3, speed: 12.0, open/close: 2.0,  start/stop: 3.0
4) ex0.simulator.Elevator_A, Elev_4, speed: 2.0, open/close: 2.0,  start/stop: 3.0
5) ex0.simulator.Elevator_A, Elev_5, speed: 3.0, open/close: 2.0,  start/stop: 3.0
6) ex0.simulator.Elevator_A, Elev_6, speed: 4.0, open/close: 2.0,  start/stop: 3.0
7) ex0.simulator.Elevator_A, Elev_7, speed: 4.0, open/close: 2.0,  start/stop: 3.0
8) ex0.simulator.Elevator_A, Elev_8, speed: 4.0, open/close: 2.0,  start/stop: 3.0
9) ex0.simulator.Elevator_A, Elev_9, speed: 4.0, open/close: 2.0,  start/stop: 3.0
0.0,Simulated Period starTime,0.0,  endTime,3600.0,  dt,1.0
0.0,Simulated  calls,Elevetor log, size: 1000
0.0,**** Simulation starts!! ****
68.0, elevID,6,  pos,-10,  cmd, goto,-10
68.0, elevID,7,  pos,-10,  cmd, goto,-10
69.0, elevID,0,  pos,-10,  cmd, goto,-10
69.0, elevID,1,  pos,-10,  cmd, goto,-10
69.0, elevID,3,  pos,-10,  cmd, goto,-10
69.0, elevID,6,  pos,-10,  cmd, goto,-10
69.0, elevID,7,  pos,-10,  cmd, goto,-10
70.0, elevID,0,  pos,-10,  cmd, goto,-10
70.0, elevID,1,  pos,-10,  cmd, goto,-10
70.0, elevID,3,  pos,-10,  cmd, goto,-10
70.0, elevID,6,  pos,-10,  cmd, goto,-10
70.0, elevID,7,  pos,-10,  cmd, goto,-10
71.0, elevID,0,  pos,-10,  cmd, goto,-10
71.0, elevID,1,  pos,-10,  cmd, goto,-10
71.0, elevID,3,  pos,-10,  cmd, goto,-10
71.0, elevID,6,  pos,-10,  cmd, goto,-10
71.0, elevID,7,  pos,-10,  cmd, goto,-10
72.0, elevID,0,  pos,-10,  cmd, goto,-10
72.0, elevID,1,  pos,-10,  cmd, goto,-10
72.0, elevID,3,  pos,-10,  cmd, goto,-10
72.0, elevID,6,  pos,-10,  cmd, goto,-10
72.0, elevID,7,  pos,-10,  cmd, goto,-10
73.0, elevID,0,  pos,-10,  cmd, goto,-10
73.0, elevID,1,  pos,-10,  cmd, goto,-10
73.0, elevID,3,  pos,-10,  cmd, goto,-10
73.0, elevID,6,  pos,-10,  cmd, goto,-10
73.0, elevID,7,  pos,-10,  cmd, goto,-10
74.0, elevID,0,  pos,-10,  cmd, goto,-10
74.0, elevID,1,  pos,-10,  cmd, goto,-10
74.0, elevID,3,  pos,-10,  cmd, goto,-10
74.0, elevID,6,  pos,-10,  cmd, goto,-10
74.0, elevID,7,  pos,-10,  cmd, goto,-10
75.0, elevID,0,  pos,-10,  cmd, goto,-10
75.0, elevID,1,  pos,-10,  cmd, goto,-10
75.0, elevID,3,  pos,-10,  cmd, goto,-10
75.0, elevID,6,  pos,-10,  cmd, goto,-10
75.0, elevID,7,  pos,-10,  cmd, goto,-10
76.0,Elevator call,75.72747458099184,-3,78,1,8, got allocated to elevator, 8
76.0, elevID,0,  pos,-10,  cmd, goto,-10
76.0, elevID,1,  pos,-10,  cmd, goto,-10
76.0, elevID,3,  pos,-10,  cmd, goto,-10
76.0, elevID,6,  pos,-10,  cmd, goto,-10
76.0, elevID,7,  pos,-10,  cmd, goto,-10
76.0, elevID,8,  pos,-10,  cmd, goto,-10
77.0, elevID,0,  pos,-10,  cmd, goto,-10
77.0, elevID,1,  pos,-10,  cmd, goto,-10
77.0, elevID,3,  pos,-10,  cmd, goto,-10
77.0, elevID,6,  pos,-10,  cmd, goto,-10
77.0, elevID,7,  pos,-10,  cmd, goto,-10
77.0, elevID,8,  pos,-10,  cmd, goto,-10
78.0, elevID,0,  pos,-10,  cmd, goto,-10
78.0, elevID,1,  pos,-10,  cmd, goto,-10
78.0, elevID,3,  pos,-10,  cmd, goto,-10
78.0, elevID,6,  pos,-10,  cmd, goto,-10
78.0, elevID,7,  pos,-10,  cmd, goto,-10
78.0, elevID,8,  pos,-10,  cmd, goto,-10
79.0, elevID,0,  pos,-10,  cmd, goto,-10
79.0, elevID,1,  pos,-10,  cmd, goto,-10
79.0, elevID,3,  pos,-10,  cmd, goto,-10
79.0, elevID,6,  pos,-10,  cmd, goto,-10
79.0, elevID,7,  pos,-10,  cmd, goto,-10
79.0, elevID,8,  pos,-10,  cmd, goto,-10
80.0, elevID,0,  pos,-10,  cmd, goto,-10
80.0, elevID,1,  pos,-10,  cmd, goto,-10
80.0, elevID,3,  pos,-10,  cmd, goto,-10
80.0, elevID,6,  pos,-10,  cmd, goto,-10
80.0, elevID,7,  pos,-10,  cmd, goto,-10
80.0, elevID,8,  pos,-10,  cmd, goto,-10
81.0,Elevator call,80.54056995114593,-1,-2,1,9, got allocated to elevator, 9
81.0, elevID,0,  pos,-10,  cmd, goto,-10
81.0, elevID,1,  pos,-10,  cmd, goto,-10
81.0, elevID,3,  pos,-10,  cmd, goto,-10
81.0, elevID,6,  pos,-10,  cmd, goto,-10
81.0, elevID,7,  pos,-10,  cmd, goto,-10
81.0, elevID,8,  pos,-10,  cmd, goto,-10
81.0, elevID,9,  pos,-10,  cmd, goto,-10
82.0,Elevator call,81.83610880045785,-4,71,1,8, got allocated to elevator, 8
82.0, elevID,0,  pos,-10,  cmd, goto,-10
82.0, elevID,1,  pos,-10,  cmd, goto,-10
82.0, elevID,3,  pos,-10,  cmd, goto,-10
82.0, elevID,6,  pos,-10,  cmd, goto,-10
82.0, elevID,7,  pos,-10,  cmd, goto,-10
82.0, elevID,8,  pos,-10,  cmd, goto,-10
82.0, elevID,9,  pos,-10,  cmd, goto,-10
83.0,Elevator call,82.2221532378262,-4,84,1,9, got allocated to elevator, 9
83.0,Elevator call,82.9367101264711,-4,46,1,5, got allocated to elevator, 5
83.0, elevID,0,  pos,-10,  cmd, goto,-10
83.0, elevID,1,  pos,-10,  cmd, goto,-10
83.0, elevID,3,  pos,-10,  cmd, goto,-10
83.0, elevID,5,  pos,-10,  cmd, goto,-10
83.0, elevID,6,  pos,-10,  cmd, goto,-10
83.0, elevID,7,  pos,-10,  cmd, goto,-10
83.0, elevID,8,  pos,-10,  cmd, goto,-10
83.0, elevID,9,  pos,-10,  cmd, goto,-10
84.0, elevID,0,  pos,-10,  cmd, goto,-10
84.0, elevID,1,  pos,-10,  cmd, goto,-10
84.0, elevID,3,  pos,-10,  cmd, goto,-10
84.0, elevID,5,  pos,-10,  cmd, goto,-10
84.0, elevID,6,  pos,-10,  cmd, goto,-10
84.0, elevID,7,  pos,-10,  cmd, goto,-10
84.0, elevID,8,  pos,-10,  cmd, goto,-10
84.0, elevID,9,  pos,-10,  cmd, goto,-10
85.0, elevID,0,  pos,-10,  cmd, goto,-10
85.0, elevID,1,  pos,-10,  cmd, goto,-10
85.0, elevID,3,  pos,-10,  cmd, goto,-10
85.0, elevID,5,  pos,-10,  cmd, goto,-10
85.0, elevID,6,  pos,-10,  cmd, goto,-10
85.0, elevID,7,  pos,-10,  cmd, goto,-10
85.0, elevID,8,  pos,-10,  cmd, goto,-10
85.0, elevID,9,  pos,-10,  cmd, goto,-10
86.0, elevID,0,  pos,-10,  cmd, goto,-10
86.0, elevID,1,  pos,-10,  cmd, goto,-10
86.0, elevID,3,  pos,-10,  cmd, goto,-10
86.0, elevID,5,  pos,-10,  cmd, goto,-10
86.0, elevID,6,  pos,-10,  cmd, goto,-10
86.0, elevID,7,  pos,-10,  cmd, goto,-10
86.0, elevID,8,  pos,-10,  cmd, goto,-10
86.0, elevID,9,  pos,-10,  cmd, goto,-10
87.0, elevID,0,  pos,-10,  cmd, goto,-10
